ip_address,command_count,session_duration_seconds,failed_login_attempts,unique_commands,login_attempts,files_accessed,suspicious_command_count,port_number,protocol,canary_triggered,honeypot_type,bytes_sent,bytes_received,actual_label,threat_score
192.168.187.97,20,212,3,7,4,3,3,22,SSH,0,Cowrie-SSH,3588,11271,0,43
192.168.129.209,22,95,2,9,8,4,3,80,SSH,0,Fake-Admin-Panel,6678,2579,0,38
192.168.115.191,20,340,1,8,6,4,1,22,SSH,0,Web-Honeypot,24488,12868,0,18
192.168.195.67,11,235,1,9,5,3,0,443,HTTP,0,Cowrie-SSH,8276,5854,0,32
192.168.104.48,13,415,6,7,6,4,3,22,HTTPS,0,Cowrie-SSH,15478,23724,0,50
192.168.27.188,25,294,5,10,5,2,2,443,SSH,0,Web-Honeypot,1527,6496,0,22
192.168.16.252,17,76,3,2,4,2,1,8080,SSH,0,Cowrie-SSH,2085,698,0,35
192.168.97.234,15,170,4,7,7,7,0,443,SSH,0,Cowrie-SSH,3174,11583,1,57
192.168.36.119,24,70,3,11,7,3,2,80,HTTP,0,Cowrie-SSH,217,3722,0,27
192.168.82.136,22,125,7,11,6,4,4,22,SSH,0,Cowrie-SSH,19995,1900,1,53
192.168.173.242,19,232,1,10,7,5,1,22,SSH,0,Cowrie-SSH,67838,1902,0,22
192.168.81.62,13,94,6,5,5,6,2,22,SSH,0,Cowrie-SSH,4284,33376,0,42
192.168.77.85,13,406,0,6,8,2,3,22,SSH,0,Cowrie-SSH,2473,338,0,31
192.168.208.251,13,422,0,4,2,4,2,22,HTTP,0,Cowrie-SSH,3298,1033,0,34
192.168.220.100,21,90,3,5,4,5,1,22,SSH,0,Cowrie-SSH,5770,6051,0,40
192.168.76.210,16,454,7,9,3,7,1,22,HTTP,0,Fake-Admin-Panel,2612,10434,1,56
192.168.42.240,14,237,2,9,2,5,3,22,SSH,0,Web-Honeypot,2415,54126,0,35
192.168.230.194,24,70,1,5,4,3,1,22,SSH,0,Cowrie-SSH,8359,35934,0,42
