command_count,session_duration_seconds,failed_login_attempts,unique_commands,login_attempts,files_accessed,suspicious_command_count,port_number,canary_triggered,bytes_sent,bytes_received,actual_label,predicted_anomaly,threat_score,threat_level
16,265,2,12,3,3,3,22,0,4934,7355,0,1,41.98,Medium
20,180,2,6,4,3,1,80,0,4363,65560,0,1,41.4,Medium
24,145,3,6,6,6,2,80,0,3477,22088,0,1,40.3,Medium
17,143,5,10,5,1,1,22,0,3329,6741,0,1,40.46,Medium
14,114,4,8,4,6,1,80,0,1988,874,0,1,39.64,Medium
15,181,4,10,4,1,3,443,0,1204,11975,0,1,43.31,Medium
18,128,1,5,4,3,2,80,0,865,2439,0,1,40.4,Medium
24,60,6,7,4,3,1,80,0,2681,83080,0,1,47.65,Medium
20,96,5,7,10,4,2,443,0,657,13988,0,1,45.22,Medium
21,92,3,12,4,3,7,443,0,4927,7158,0,1,49.58,Medium
20,165,2,5,3,6,0,22,0,4697,32747,0,1,42.07,Medium
18,90,2,9,14,4,1,80,0,2300,2764,0,1,45.62,Medium
20,217,2,14,4,5,3,80,0,1273,5850,0,1,42.42,Medium
24,289,2,9,2,2,2,22,0,19260,25585,0,1,45.76,Medium
20,241,5,6,6,4,1,443,0,2228,12815,0,1,42.13,Medium
18,81,5,7,2,5,3,22,0,8166,36691,0,1,43.52,Medium
19,97,7,14,5,6,1,443,0,4123,76075,0,-1,52.24,Medium
21,42,3,8,4,10,1,22,0,1089,559,1,1,44.83,Medium
19,489,1,6,5,2,3,22,0,2601,3254,0,1,43.21,Medium
22,174,5,9,5,3,0,22,0,2025,6424,0,1,41.06,Medium
16,215,2,10,5,6,1,22,0,243,22415,0,1,40.12,Medium
14,295,4,8,3,3,2,22,0,365,19285,1,1,39.88,Medium
20,106,1,6,6,4,1,80,0,3674,20715,0,1,40.39,Medium
12,227,5,10,1,3,5,22,0,25039,9380,1,-1,51.86,Medium
25,248,3,8,8,5,0,443,0,2766,13273,0,1,46,Medium
19,82,1,6,12,0,1,443,0,3690,6268,0,-1,50.13,Medium
20,116,1,7,3,4,4,22,0,4080,1433,0,1,41.19,Medium
17,458,2,16,3,2,1,80,0,1216,4927,0,1,47.63,Medium
19,236,3,6,3,3,2,22,0,7989,21620,0,1,38.82,Medium
14,154,4,7,7,3,0,443,0,13486,6691,0,1,45.47,Medium
18,204,3,7,1,8,1,443,0,1636,2004,0,1,45.93,Medium
16,104,2,12,5,3,4,8080,0,527,59200,0,-1,57.92,Medium
15,404,4,8,7,6,2,22,0,1690,21017,1,1,40.93,Medium
22,293,2,7,6,6,1,80,0,3426,100477,0,1,45.05,Medium
20,163,8,9,5,3,2,443,0,1595,1903,0,1,46.91,Medium
19,213,2,4,6,3,2,22,0,6191,2456,0,1,39.38,Medium
23,91,4,5,3,4,0,22,0,2356,9468,0,1,41.29,Medium
13,191,2,9,6,4,1,443,0,3020,7838,0,1,40.94,Medium
23,133,3,8,5,1,1,8080,0,3109,4558,0,-1,53.31,Medium
16,530,1,7,4,7,0,80,0,3454,3690,0,1,45.6,Medium
16,181,3,8,5,5,2,443,0,1041,911,0,1,40.64,Medium
24,144,3,9,3,4,1,80,0,1711,5147,0,1,39.55,Medium
19,349,1,7,2,2,5,22,0,13354,14852,0,1,46.53,Medium
25,104,4,10,7,0,2,22,0,1438,4163,1,1,44.14,Medium
19,67,3,8,5,1,2,22,0,16109,8924,0,1,41.44,Medium
19,427,0,12,5,6,2,22,0,6558,20170,0,1,45.89,Medium
14,254,1,6,7,6,0,22,0,1676,60290,0,1,46.58,Medium
28,141,4,10,5,5,1,22,0,6955,3426,0,1,43.22,Medium
17,286,1,7,3,3,1,22,0,442,2261,0,1,40.63,Medium
22,497,1,8,6,4,1,22,0,5223,67025,0,1,47.79,Medium
10,76,2,6,3,0,3,22,0,1336,7550,0,1,46.16,Medium
15,256,3,6,9,4,0,80,0,17497,330,0,1,44.94,Medium
12,404,4,6,2,5,2,22,0,1852,655,0,1,43,Medium
19,148,1,11,7,3,2,8080,0,1967,1651,0,-1,53.36,Medium
20,228,5,13,3,4,3,443,0,25934,12711,0,-1,51.35,Medium
9,392,3,2,6,5,4,22,0,3510,26078,0,1,48.72,Medium
19,280,2,10,5,8,2,80,0,8251,7008,0,1,41.38,Medium
21,122,3,6,7,3,1,80,0,509,6441,1,1,39.62,Medium
16,257,2,11,3,6,5,22,0,1476,11683,0,1,43.84,Medium
27,222,4,12,3,5,0,8080,0,2079,2027,0,-1,56.8,Medium
17,169,3,10,4,2,0,443,0,2849,11936,0,1,42.49,Medium
23,253,2,9,5,6,3,22,0,2195,3254,0,1,39.84,Medium
8,62,0,2,2,1,2,22,0,4274,6705,0,-1,52.54,Medium
17,432,1,6,8,3,0,22,0,4565,1266,0,1,44.83,Medium
21,219,6,6,6,8,2,22,0,1373,17612,1,1,42.79,Medium
16,80,3,12,10,3,2,22,0,4964,18862,0,1,44.08,Medium
15,242,3,2,2,2,4,22,0,1855,104166,0,-1,50.12,Medium
19,223,4,12,8,3,2,80,0,6484,16105,1,1,41.28,Medium
11,194,1,8,5,3,1,80,0,1842,7342,0,1,41.09,Medium
13,415,6,7,6,4,3,22,0,15478,23724,0,1,46.44,Medium
17,14,3,13,5,3,4,22,0,1602,25199,0,1,45.7,Medium
19,267,3,6,4,2,0,22,0,1866,1649,0,1,39.97,Medium
22,130,4,8,7,1,1,80,0,604,20034,0,1,41.54,Medium
21,54,6,10,5,5,2,22,0,4524,12798,0,1,42.69,Medium
17,119,3,5,8,4,5,22,0,1839,5053,0,1,43.37,Medium
