timestamp,source_ip,failed_login_attempts,session_duration_seconds,command_count,unique_commands,suspicious_command_count,has_canary_trigger
2026-07-10T12:59:47.391802,45.33.71.63,6724,2,2,1,0,0
2026-07-10T13:09:22.391802,45.33.167.180,9285,2,3,0,0,0
2026-07-10T13:02:29.391802,45.33.2.195,6425,10,1,1,0,0
2026-07-10T13:19:44.391802,45.33.23.152,5241,2,1,0,0,0
2026-07-10T13:18:39.391802,45.33.130.155,3164,6,2,0,0,0
2026-07-10T13:40:02.391802,45.33.71.63,3303,9,1,0,0,0
2026-07-10T13:24:11.391802,45.33.151.72,4098,11,2,0,0,0
2026-07-10T14:08:37.391802,45.33.56.60,7072,5,0,0,0,0
2026-07-10T14:03:39.391802,45.33.56.60,3983,11,3,1,0,0
2026-07-10T14:06:59.391802,45.33.189.27,4540,12,2,2,0,0
2026-07-10T14:25:37.391802,45.33.7.144,6430,4,1,1,0,0
2026-07-10T14:20:49.391802,45.33.7.190,2296,3,1,1,0,0
2026-07-10T13:53:11.391802,45.33.7.144,6752,10,3,2,0,0
2026-07-10T13:02:36.391802,185.44.207.41,11,294,49,18,9,0
2026-07-10T15:03:13.391802,185.44.88.72,9,425,79,11,1,0
2026-07-10T15:18:02.391802,45.33.189.27,6626,13,1,1,0,0
2026-07-10T14:41:23.391802,45.33.2.195,5810,8,0,0,0,0
2026-07-10T13:25:17.391802,45.33.8.24,4423,1,1,1,0,0
2026-07-10T15:28:35.391802,45.33.140.108,1633,13,1,0,0,0
2026-07-10T15:57:45.391802,45.33.174.190,4842,9,3,0,0,0
2026-07-10T15:59:27.391802,45.33.229.140,5607,7,2,1,0,0
2026-07-10T16:21:44.391802,45.33.23.152,4181,2,2,0,0,0
2026-07-10T13:28:45.391802,45.33.23.152,617,2,0,0,0,0
2026-07-10T16:14:08.391802,45.33.56.60,1660,9,1,1,0,0
2026-07-10T16:17:23.391802,45.33.189.27,9855,10,3,0,0,0
2026-07-10T16:04:22.391802,45.33.229.140,2045,2,3,1,0,0
2026-07-10T15:34:29.391802,45.33.7.190,2112,1,3,2,0,0
2026-07-10T16:30:50.391802,45.33.58.36,4573,4,1,1,0,0
2026-07-10T16:35:51.391802,45.33.174.190,5063,8,1,0,0,0
2026-07-10T15:01:35.391802,45.33.151.72,2104,1,0,0,0,0
2026-07-10T14:28:47.391802,45.33.140.108,8386,4,3,0,0,0
2026-07-10T16:48:40.391802,45.33.7.144,4845,15,3,1,0,0
2026-07-10T15:03:31.391802,45.33.151.72,8473,3,1,1,0,0
2026-07-10T18:03:56.391802,185.44.246.196,12,1170,22,18,12,0
2026-07-10T13:44:33.391802,45.33.57.115,1812,14,1,0,0,0
2026-07-10T13:28:57.391802,45.33.23.152,7115,2,1,1,0,0
2026-07-10T15:11:11.391802,45.33.51.184,9760,9,2,1,0,0
2026-07-10T16:15:16.391802,45.33.56.60,4410,5,3,0,0,0
2026-07-10T18:54:27.391802,45.33.71.63,652,8,0,0,0,0
2026-07-10T15:48:47.391802,45.33.109.9,2670,15,2,0,0,0
2026-07-10T19:07:07.391802,45.33.174.190,7679,14,2,2,0,0
2026-07-10T16:11:07.391802,45.33.151.72,5405,15,0,0,0,0
2026-07-10T15:37:17.391802,45.33.58.36,9564,3,2,1,0,0
2026-07-10T13:44:13.391802,45.33.229.140,4825,9,3,1,0,0
2026-07-10T14:44:39.391802,45.33.51.184,5033,1,0,0,0,0
2026-07-10T18:35:02.391802,45.33.109.9,3147,12,3,2,0,0
2026-07-10T13:35:03.391802,45.33.58.36,1732,15,1,1,0,0
2026-07-10T13:40:31.391802,45.33.208.223,9552,3,3,0,0,0
2026-07-10T14:31:47.391802,45.33.7.190,6362,4,1,1,0,0
2026-07-10T15:23:31.391802,45.33.151.72,7158,10,1,0,0,0
2026-07-10T18:58:57.391802,185.44.179.109,15,904,18,13,1,0
2026-07-10T13:41:26.391802,45.33.23.152,4871,3,0,0,0,0
2026-07-10T17:38:51.391802,45.33.23.152,3769,14,3,1,0,0
2026-07-10T18:05:25.391802,45.33.23.152,4152,1,1,1,0,0
2026-07-10T21:22:53.391802,45.33.71.63,5073,6,3,2,0,0
2026-07-10T17:17:22.391802,45.33.164.29,2389,15,2,0,0,0
2026-07-10T21:17:15.391802,45.33.2.195,7619,6,2,1,0,0
2026-07-10T20:12:59.391802,45.33.208.223,3614,5,0,0,0,0
2026-07-10T18:36:11.391802,45.33.151.72,3728,6,3,0,0,0
2026-07-10T20:00:39.391802,45.33.58.36,5420,9,2,2,0,0
2026-07-10T19:37:47.391802,45.33.8.24,9583,3,1,1,0,0
2026-07-10T13:09:57.391802,45.33.174.190,9824,5,3,2,0,0
2026-07-10T20:57:11.391802,45.33.229.140,7543,13,2,1,0,0
2026-07-10T14:40:35.391802,45.33.229.140,8875,8,1,1,0,0
2026-07-10T18:48:35.391802,45.33.2.195,5991,2,1,1,0,0
2026-07-10T21:57:07.391802,45.33.229.140,2914,1,0,0,0,0
2026-07-10T20:23:05.391802,45.33.71.63,7961,7,1,1,0,0
2026-07-10T21:16:42.391802,45.33.23.152,2917,11,0,0,0,0
2026-07-10T22:00:23.391802,45.33.57.115,8111,1,1,0,0,0
2026-07-10T23:04:41.391802,45.33.167.180,9202,9,2,1,0,0
2026-07-10T22:38:27.391802,45.33.151.72,7805,15,1,1,0,0
2026-07-10T18:00:21.391802,45.33.23.152,5043,13,3,2,0,0
2026-07-10T19:44:11.391802,45.33.71.63,5181,4,2,1,0,0
2026-07-10T16:21:45.391802,45.33.71.63,2767,3,1,1,0,0
2026-07-10T23:00:25.391802,45.33.71.63,7297,7,2,2,0,0
