timestamp,source_ip,failed_login_attempts,session_duration_seconds,command_count,unique_commands,suspicious_command_count,has_canary_trigger,anomaly_label,ai_threat_score,severity,threat_type,description
2026-07-11T01:12:27.391802,185.44.179.109,13,522,65,25,15,0,-1,78,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.179.109. 15 suspicious commands executed across 522s session.
2026-07-12T03:27:38.391802,185.44.40.56,11,1167,45,15,15,0,-1,77,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.40.56. 15 suspicious commands executed across 1167s session.
2026-07-13T20:20:58.391802,185.44.88.72,9,170,16,16,15,0,-1,76,High,Anomalous Activity,"Anomalous SSH activity from 185.44.88.72 (16 commands, 170s session)."
2026-07-10T18:03:56.391802,185.44.246.196,12,1170,22,18,12,0,-1,76,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.246.196. 12 suspicious commands executed across 1170s session.
2026-07-17T07:15:23.391802,185.44.88.72,13,1027,35,14,14,1,-1,76,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.88.72. 14 suspicious commands executed across 1027s session.
2026-07-18T14:22:17.391802,185.44.40.56,2,746,17,22,13,0,-1,76,High,Interactive Session Attack,Extended interactive session from 185.44.40.56. Duration: 746s. Indicates human-guided attack.
2026-07-11T12:56:30.391802,185.44.246.196,8,578,19,14,15,1,-1,75,High,Canary Token Triggered,Decoy resource interaction from 185.44.246.196. Attacker accessed canary-baited asset.
2026-07-10T15:29:47.391802,185.44.88.72,1,870,50,8,13,0,-1,75,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.88.72. 13 suspicious commands executed across 870s session.
2026-07-16T20:00:34.391802,185.44.207.41,12,305,26,12,15,0,-1,75,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.207.41. 15 suspicious commands executed across 305s session.
2026-07-10T16:55:44.391802,185.44.40.56,11,1067,26,23,8,0,-1,75,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.40.56. 8 suspicious commands executed across 1067s session.
2026-07-13T13:46:47.391802,185.44.88.72,2,1127,50,16,12,0,-1,75,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.88.72. 12 suspicious commands executed across 1127s session.
2026-07-17T08:01:04.391802,185.44.207.41,8,878,77,24,12,0,-1,75,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.207.41. 12 suspicious commands executed across 878s session.
2026-07-11T22:47:47.391802,185.44.40.56,8,835,59,25,10,0,-1,74,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.40.56. 10 suspicious commands executed across 835s session.
2026-07-11T08:37:22.391802,185.44.179.109,6,1033,62,17,12,1,-1,74,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.179.109. 12 suspicious commands executed across 1033s session.
2026-07-10T16:29:02.391802,185.44.207.41,10,578,16,22,10,0,-1,74,High,Interactive Session Attack,Extended interactive session from 185.44.207.41. Duration: 578s. Indicates human-guided attack.
2026-07-15T21:32:02.391802,185.44.179.109,6,985,75,24,6,1,-1,74,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.179.109. 6 suspicious commands executed across 985s session.
2026-07-14T20:26:29.391802,185.44.179.109,9,927,72,9,10,0,-1,74,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.179.109. 10 suspicious commands executed across 927s session.
2026-07-11T02:40:43.391802,185.44.88.72,11,771,23,25,7,0,-1,74,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.88.72. 7 suspicious commands executed across 771s session.
2026-07-11T03:57:00.391802,185.44.179.109,3,675,71,18,9,0,-1,73,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.179.109. 9 suspicious commands executed across 675s session.
2026-07-13T02:03:23.391802,185.44.179.109,6,830,50,20,12,0,-1,73,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.179.109. 12 suspicious commands executed across 830s session.
2026-07-11T15:27:35.391802,185.44.40.56,2,1156,60,18,1,1,-1,73,High,Canary Token Triggered,Decoy resource interaction from 185.44.40.56. Attacker accessed canary-baited asset.
2026-07-11T13:12:17.391802,185.44.88.72,15,594,60,13,11,1,-1,73,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.88.72. 11 suspicious commands executed across 594s session.
2026-07-16T22:50:13.391802,185.44.246.196,10,356,22,15,11,0,-1,73,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.246.196. 11 suspicious commands executed across 356s session.
2026-07-14T01:37:07.391802,185.44.40.56,12,1194,48,17,4,1,-1,73,High,Canary Token Triggered,Decoy resource interaction from 185.44.40.56. Attacker accessed canary-baited asset.
2026-07-10T18:45:05.391802,185.44.40.56,1,980,46,14,9,1,-1,73,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.40.56. 9 suspicious commands executed across 980s session.
2026-07-17T08:40:26.391802,185.44.179.109,1,300,80,18,5,0,-1,73,High,Anomalous Activity,"Anomalous SSH activity from 185.44.179.109 (80 commands, 300s session)."
2026-07-16T13:17:04.391802,185.44.179.109,6,978,35,25,3,0,-1,73,High,Interactive Session Attack,Extended interactive session from 185.44.179.109. Duration: 978s. Indicates human-guided attack.
2026-07-12T10:50:59.391802,185.44.246.196,15,375,78,21,0,0,-1,72,High,Interactive Session Attack,Extended interactive session from 185.44.246.196. Duration: 375s. Indicates human-guided attack.
2026-07-10T13:02:36.391802,185.44.207.41,11,294,49,18,9,0,-1,72,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.207.41. 9 suspicious commands executed across 294s session.
2026-07-13T21:10:37.391802,185.44.88.72,12,899,52,13,10,0,-1,72,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.88.72. 10 suspicious commands executed across 899s session.
2026-07-12T11:56:07.391802,185.44.40.56,12,913,35,12,10,0,-1,72,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.40.56. 10 suspicious commands executed across 913s session.
2026-07-18T00:39:47.391802,185.44.40.56,7,1193,53,18,0,0,-1,72,High,Interactive Session Attack,Extended interactive session from 185.44.40.56. Duration: 1193s. Indicates human-guided attack.
2026-07-16T10:33:59.391802,185.44.246.196,1,1105,66,12,0,0,-1,72,High,Interactive Session Attack,Extended interactive session from 185.44.246.196. Duration: 1105s. Indicates human-guided attack.
2026-07-18T13:32:29.391802,185.44.246.196,14,1143,30,14,3,0,-1,72,High,Interactive Session Attack,Extended interactive session from 185.44.246.196. Duration: 1143s. Indicates human-guided attack.
2026-07-15T16:37:35.391802,185.44.246.196,5,804,36,21,2,1,-1,71,High,Canary Token Triggered,Decoy resource interaction from 185.44.246.196. Attacker accessed canary-baited asset.
2026-07-12T02:14:59.391802,185.44.207.41,10,800,76,21,2,0,-1,71,High,Interactive Session Attack,Extended interactive session from 185.44.207.41. Duration: 800s. Indicates human-guided attack.
2026-07-17T23:03:55.391802,185.44.179.109,12,822,80,13,5,0,-1,71,High,Interactive Session Attack,Extended interactive session from 185.44.179.109. Duration: 822s. Indicates human-guided attack.
2026-07-14T13:27:35.391802,185.44.88.72,9,1060,62,9,1,0,-1,71,High,Interactive Session Attack,Extended interactive session from 185.44.88.72. Duration: 1060s. Indicates human-guided attack.
2026-07-13T04:20:30.391802,185.44.88.72,12,870,27,18,5,0,-1,71,High,Interactive Session Attack,Extended interactive session from 185.44.88.72. Duration: 870s. Indicates human-guided attack.
2026-07-15T19:28:29.391802,185.44.88.72,14,821,67,21,1,0,-1,71,High,Interactive Session Attack,Extended interactive session from 185.44.88.72. Duration: 821s. Indicates human-guided attack.
2026-07-10T15:39:32.391802,185.44.179.109,5,824,16,25,0,1,-1,71,High,Canary Token Triggered,Decoy resource interaction from 185.44.179.109. Attacker accessed canary-baited asset.
2026-07-14T10:52:20.391802,185.44.88.72,7,292,64,16,7,1,-1,71,High,Reconnaissance/Exploitation,Targeted reconnaissance detected from 185.44.88.72. 7 suspicious commands executed across 292s session.
2026-07-12T10:02:01.391802,185.44.246.196,9,1032,16,11,1,0,-1,70,High,Interactive Session Attack,Extended interactive session from 185.44.246.196. Duration: 1032s. Indicates human-guided attack.
