timestamp,source_ip,failed_login_attempts,session_duration_seconds,command_count,unique_commands,suspicious_command_count,has_canary_trigger
2026-07-10T12:57:52.205346,45.33.71.63,6724,2,2,1,0,0
2026-07-10T13:07:27.205346,45.33.167.180,9285,2,3,0,0,0
2026-07-10T13:00:34.205346,45.33.2.195,6425,10,1,1,0,0
2026-07-10T13:17:49.205346,45.33.23.152,5241,2,1,0,0,0
2026-07-10T13:16:44.205346,45.33.130.155,3164,6,2,0,0,0
2026-07-10T13:38:07.205346,45.33.71.63,3303,9,1,0,0,0
2026-07-10T13:22:16.205346,45.33.151.72,4098,11,2,0,0,0
2026-07-10T14:06:42.205346,45.33.56.60,7072,5,0,0,0,0
2026-07-10T14:01:44.205346,45.33.56.60,3983,11,3,1,0,0
2026-07-10T14:05:04.205346,45.33.189.27,4540,12,2,2,0,0
2026-07-10T14:23:42.205346,45.33.7.144,6430,4,1,1,0,0
2026-07-10T14:18:54.205346,45.33.7.190,2296,3,1,1,0,0
2026-07-10T13:51:16.205346,45.33.7.144,6752,10,3,2,0,0
2026-07-10T13:00:41.205346,185.44.207.41,11,294,49,18,9,0
2026-07-10T15:01:18.205346,185.44.88.72,9,425,79,11,1,0
2026-07-10T15:16:07.205346,45.33.189.27,6626,13,1,1,0,0
2026-07-10T14:39:28.205346,45.33.2.195,5810,8,0,0,0,0
2026-07-10T13:23:22.205346,45.33.8.24,4423,1,1,1,0,0
2026-07-10T15:26:40.205346,45.33.140.108,1633,13,1,0,0,0
2026-07-10T15:55:50.205346,45.33.174.190,4842,9,3,0,0,0
2026-07-10T15:57:32.205346,45.33.229.140,5607,7,2,1,0,0
2026-07-10T16:19:49.205346,45.33.23.152,4181,2,2,0,0,0
2026-07-10T13:26:50.205346,45.33.23.152,617,2,0,0,0,0
2026-07-10T16:12:13.205346,45.33.56.60,1660,9,1,1,0,0
2026-07-10T16:15:28.205346,45.33.189.27,9855,10,3,0,0,0
2026-07-10T16:02:27.205346,45.33.229.140,2045,2,3,1,0,0
2026-07-10T15:32:34.205346,45.33.7.190,2112,1,3,2,0,0
2026-07-10T16:28:55.205346,45.33.58.36,4573,4,1,1,0,0
2026-07-10T16:33:56.205346,45.33.174.190,5063,8,1,0,0,0
2026-07-10T14:59:40.205346,45.33.151.72,2104,1,0,0,0,0
2026-07-10T14:26:52.205346,45.33.140.108,8386,4,3,0,0,0
2026-07-10T16:46:45.205346,45.33.7.144,4845,15,3,1,0,0
